513;Agurain/Salvatierra
14;Alegría-Dulantzi
29;Amurrio
493;Añana
35;Aramaio
66;Armiñón
376;Arraia-Maeztu
88;Arratzua-Ubarrundia
40;Artziniega
91;Asparrena
105;Ayala/Aiara
112;Baños de Ebro/Mañueta
133;Barrundia
148;Berantevilla
164;Bernedo
170;Campezo/Kanpezu
210;Elburgo/Burgelu
225;Elciego
231;Elvillar/Bilar
474;Erriberabeitia
468;Erriberagoitia/Ribera Alta
565;Harana/Valle de Arana
9015;Iruña Oka/Iruña de Oca
278;Iruraiz-Gauna
199;Kripan
203;Kuartango
284;Labastida/Bastida
301;Lagrán
318;Laguardia
323;Lanciego/Lantziego
9020;Lantarón
339;Lapuebla de Labarca
360;Laudio/Llodio
587;Legutio
344;Leza
395;Moreda de Álava/Moreda Araba
416;Navaridas
421;Okondo
437;Oyón-Oion
442;Peñacerrada-Urizaharra
528;Samaniego
534;San Millán/Donemiliaga
549;Urkabustaiz
552;Valdegovía/Gaubea
571;Villabuena de Álava/Eskuernaga
590;Vitoria-Gasteiz
604;Yécora/Iekora
611;Zalduondo
626;Zambrana
186;Zigoitia
632;Zuia
19;Abengibre
24;Alatoz
30;Albacete
45;Albatana
58;Alborea
61;Alcadozo
77;Alcalá del Júcar
83;Alcaraz
96;Almansa
100;Alpera
117;Ayna
122;Balazote
143;Ballestero, El
138;Balsa de Ves
156;Barrax
169;Bienservida
175;Bogarra
181;Bonete
194;Bonillo, El
208;Carcelén
215;Casas de Juan Núñez
220;Casas de Lázaro
236;Casas de Ves
241;Casas-Ibáñez
254;Caudete
267;Cenizate
292;Chinchilla de Monte-Aragón
273;Corral-Rubio
289;Cotillas
306;Elche de la Sierra
313;Férez
328;Fuensanta
334;Fuente-Álamo
349;Fuentealbilla
352;Gineta, La
365;Golosalvo
371;Hellín
387;Herrera, La
390;Higueruela
404;Hoya-Gonzalo
411;Jorquera
426;Letur
432;Lezuza
447;Liétor
450;Madrigueras
463;Mahora
479;Masegoso
485;Minaya
498;Molinicos
501;Montalvos
518;Montealegre del Castillo
523;Motilleja
539;Munera
544;Navas de Jorquera
557;Nerpio
560;Ontur
576;Ossa de Montiel
582;Paterna del Madera
609;Peñas de San Pedro
595;Peñascosa
616;Pétrola
621;Povedilla
9010;Pozo Cañada
637;Pozohondo
642;Pozo-Lorente
655;Pozuelo
668;Recueja, La
674;Riópar
680;Robledo
693;Roda, La
707;Salobre
714;San Pedro
729;Socovos
735;Tarazona de la Mancha
740;Tobarra
753;Valdeganga
766;Vianos
772;Villa de Ves
788;Villalgordo del Júcar
791;Villamalea
805;Villapalacios
812;Villarrobledo
827;Villatoya
833;Villavaliente
848;Villaverde de Guadalimar
851;Viveros
864;Yeste
20;Agost
36;Agres
41;Aigües
54;Albatera
67;Alcalalí
73;Alcocer de Planes
89;Alcoleja
92;Alcoy/Alcoi
106;Alfafara
113;Alfàs del Pi, l'
128;Algorfa
134;Algueña
149;Alicante/Alacant
152;Almoradí
165;Almudaina
171;Alqueria d'Asnar, l'
187;Altea
190;Aspe
15;Atzúbia, l'
204;Balones
211;Banyeres de Mariola
226;Benasau
232;Beneixama
247;Benejúzar
250;Benferri
263;Beniarbeig
279;Beniardá
285;Beniarrés
302;Benidoleig
319;Benidorm
324;Benifallim
330;Benifato
298;Benigembla
345;Benijófar
358;Benilloba
361;Benillup
377;Benimantell
383;Benimarfull
396;Benimassot
400;Benimeli
417;Benissa
422;Benitachell/Poble Nou de Benitatxell, el
438;Biar
443;Bigastro
456;Bolulla
469;Busot
494;Callosa de Segura
481;Callosa d'en Sarrià
475;Calp
507;Campello, el
